detail_id,favorite_food,feeding_frequency,aggressive
116,Giant armadillo,Seldom,0
117,"Lion, australian sea",Never,1
118,Woodrat (unidentified),Daily,1
119,Southern elephant seal,Yearly,0
120,"Stork, saddle-billed",Daily,1
121,"Zebra, common",Seldom,0
122,"Dragon, ornate rock",Daily,1
123,"Deer, black-tailed",Seldom,0
124,"Colobus, white-mantled",Weekly,0
125,"Dove, emerald-spotted wood",Monthly,0
126,"Weaver, white-browed sparrow",Yearly,0
127,Western spotted skunk,Never,0
128,Arctic tern,Weekly,0
129,"Otter, north american river",Daily,0
130,Mocking cliffchat,Daily,0
131,"Caiman, spectacled",Never,1
132,Black-throated cardinal,Often,1
133,Galapagos mockingbird,Yearly,0
134,Desert spiny lizard,Once,1
135,Red brocket,Never,1
136,"Viper, egyptian",Daily,0
137,"Constrictor, eastern boa",Monthly,1
138,Crab-eating fox,Seldom,1
139,"Bulbul, black-eyed",Never,1
140,"Shelduck, european",Yearly,0
141,Red and blue macaw,Monthly,0
142,Red brocket,Once,0
143,Bee-eater (unidentified),Yearly,0
144,"Cat, long-tailed spotted",Yearly,0
145,"Otter, north american river",Daily,0
146,Cougar,Daily,1
147,"Kite, black",Monthly,1
148,Orca,Once,1
149,Flightless cormorant,Yearly,1
150,Lesser mouse lemur,Yearly,1
151,Python (unidentified),Weekly,0
152,"Goose, canada",Daily,0
153,Collared lizard,Yearly,0
154,Collared lemming,Weekly,0
155,"Stork, white-necked",Weekly,0
156,Indian leopard,Often,0
157,Common langur,Monthly,0
158,American alligator,Monthly,0
159,White-fronted bee-eater,Seldom,0
160,"Hyena, brown",Weekly,1
161,Oriental short-clawed otter,Often,1
162,Blue waxbill,Monthly,0
163,"Wallaby, river",Seldom,0
164,White spoonbill,Once,0
165,"Jackal, indian",Once,0
166,Bobcat,Weekly,0
167,"Sheep, red",Seldom,0
168,"Seal, harbor",Never,1
169,"Bird, red-billed tropic",Weekly,1
170,"Waterbuck, defassa",Weekly,1
171,Indian red admiral,Never,1
172,Common rhea,Monthly,0
173,Waved albatross,Often,0
174,"Parakeet, rose-ringed",Once,1
175,Pied crow,Seldom,1
176,"Hedgehog, south african",Once,0
177,Blue wildebeest,Often,1
178,Stone sheep,Daily,1
179,"Pie, rufous tree",Daily,0
180,Koala,Never,1
181,"Squirrel, eastern fox",Weekly,0
182,Sable antelope,Daily,0
183,Griffon vulture,Never,1
184,Ring-tailed coatimundi,Seldom,1
185,Amazon parrot (unidentified),Often,0
186,"Lizard, giant girdled",Monthly,1
187,Mule deer,Once,1
188,Asian red fox,Often,1
189,Red lava crab,Never,0
190,Crowned hawk-eagle,Seldom,0
191,"Boa, malagasy ground",Never,0
192,"Gull, dusky",Yearly,1
193,"Cobra, egyptian",Monthly,1
194,Helmeted guinea fowl,Weekly,1
195,Common ringtail,Often,0
196,"Gecko, bent-toed",Never,0
197,"Finch, common melba",Seldom,1
198,Adouri (unidentified),Weekly,0
199,Tiger snake,Once,1
200,"Crane, brolga",Often,1
201,"Wallaby, whip-tailed",Weekly,1
202,"Boubou, southern",Often,1
203,Moose,Seldom,0
204,Ant (unidentified),Once,0
205,"Goose, andean",Daily,0
206,"Marmot, yellow-bellied",Once,0
207,Water monitor,Seldom,0
208,Sportive lemur,Once,1
209,Egyptian goose,Seldom,1
210,"Turkey, common",Seldom,1
211,Green-winged macaw,Once,1
212,"Deer, swamp",Never,1
213,"Cobra, egyptian",Weekly,0
214,"Wallaby, bennett's",Often,1
215,"Kangaroo, red",Seldom,0
216,"Capuchin, weeper",Seldom,1
217,"Bandicoot, short-nosed",Never,1
218,Short-beaked echidna,Often,0
219,"Baboon, chacma",Weekly,1
220,Stone sheep,Daily,0
221,"Pelican, brown",Weekly,1
222,"Deer, white-tailed",Daily,1
223,Horned lark,Never,1
224,Savannah deer (unidentified),Once,1
225,"Skunk, western spotted",Monthly,0
226,"Bear, american black",Never,1
227,"Peccary, white-lipped",Daily,0
228,Common wolf,Often,1
229,"Kingfisher, malachite",Monthly,0
230,Chuckwalla,Seldom,0
231,Black-crowned night heron,Never,0
232,"Lizard, goanna",Daily,1
233,"Porcupine, tree",Never,1
234,"Vulture, egyptian",Monthly,1
235,Sockeye salmon,Often,1
236,Golden-mantled ground squirrel,Daily,0
237,Great white pelican,Monthly,1
238,"Vulture, king",Once,1
239,Comb duck,Monthly,1
240,Red kangaroo,Monthly,0
241,"Fox, asian red",Never,0
242,Nine-banded armadillo,Seldom,0
243,Australian masked owl,Yearly,1
244,"Phalarope, grey",Never,0
245,"Roadrunner, greater",Never,1
246,"Jackal, asiatic",Monthly,1
247,Blue shark,Once,1
248,Black-backed jackal,Often,1
249,Suricate,Often,1
250,Vine snake (unidentified),Yearly,1
251,"Jacana, african",Daily,1
252,Sugar glider,Seldom,1
253,Comb duck,Once,1
254,White-faced whistling duck,Yearly,0
255,"Goose, cereopsis",Often,0
256,Dark-winged trumpeter,Often,1
257,Giant armadillo,Weekly,0
258,Red-winged hawk (unidentified),Yearly,1
259,Gaur,Often,0
260,"Otter, african clawless",Daily,0
261,"Boa, mexican",Once,1
262,Cottonmouth,Monthly,0
263,"Phalarope, red-necked",Yearly,1
264,"Sparrow, rufous-collared",Seldom,1
265,Tropical buckeye butterfly,Monthly,1
266,Common seal,Seldom,1
267,White-throated robin,Once,0
268,"Viper, egyptian",Monthly,1
269,African wild dog,Weekly,0
270,"Vulture, white-rumped",Weekly,1
271,South American sea lion,Once,1
272,Agouti,Often,1
273,"Badger, european",Daily,0
274,African lion,Seldom,1
275,Agama lizard (unidentified),Weekly,1
276,White-throated monitor,Never,1
277,"White-eye, cape",Weekly,0
278,Cheetah,Often,0
279,Black-backed magpie,Often,1
280,"Whale, killer",Seldom,0
281,"Fox, bat-eared",Once,1
282,Indian mynah,Yearly,0
283,Hanuman langur,Monthly,1
284,Small-clawed otter,Often,1
285,Black-backed magpie,Never,0
286,Arboral spiny rat,Yearly,1
287,Swallow (unidentified),Yearly,1
288,Blue wildebeest,Yearly,0
289,"Wallaby, bennett's",Monthly,0
290,Eastern grey kangaroo,Yearly,0
291,"Fox, north american red",Once,1
292,Savannah deer,Monthly,0
293,Western spotted skunk,Weekly,0
294,Carpet python,Weekly,1
295,Pronghorn,Seldom,1
296,Asian red fox,Often,1
297,Red-legged pademelon,Never,0
298,Great cormorant,Yearly,0
299,"Hawk, red-tailed",Monthly,0
300,"Pheasant, ring-necked",Yearly,1
301,"Duck, mountain",Once,1
302,Western pygmy possum,Once,0
303,"Magpie, australian",Seldom,0
304,"Cat, tiger",Never,1
305,"Duck, white-faced whistling",Daily,1
306,"Squirrel, european red",Seldom,0
307,Rhesus monkey,Weekly,0
308,"Fowl, helmeted guinea",Once,1
309,Ringtail,Seldom,0
310,Horned lark,Never,1
311,Red-legged pademelon,Once,0
312,Currasow (unidentified),Never,1
313,Crab-eating fox,Once,1
314,"Hoopoe, eurasian",Once,0
315,Eurasian beaver,Once,0
316,"Squirrel, antelope ground",Seldom,1
317,"Colobus, white-mantled",Often,0
318,Common long-nosed armadillo,Once,1
319,Feral rock pigeon,Daily,1
320,Common turkey,Yearly,0
321,"Wambenger, red-tailed",Monthly,1
322,"Waterbuck, common",Seldom,0
323,"Cat, toddy",Once,1
324,"Puffin, horned",Seldom,1
325,"Porcupine, indian",Often,0
326,"Duck, comb",Yearly,1
327,"Marmot, yellow-bellied",Once,0
328,Malay squirrel (unidentified),Often,0
329,"Deer, roe",Weekly,0
330,American racer,Yearly,0
331,White-tailed jackrabbit,Once,1
332,Lesser mouse lemur,Often,0
333,Rhesus monkey,Once,0
334,"Boa, emerald green tree",Once,0
335,Red-tailed wambenger,Weekly,1
336,Frilled dragon,Daily,0
337,Smith's bush squirrel,Daily,1
338,Argalis,Monthly,1
339,Long-crested hawk eagle,Seldom,1
340,Eastern indigo snake,Monthly,0
341,Barasingha deer,Never,0
342,Manatee,Weekly,0
343,Glossy starling (unidentified),Weekly,0
344,Galapagos tortoise,Daily,0
345,"Buffalo, american",Never,0
346,Brown brocket,Yearly,0
347,"Barbet, black-collared",Daily,0
348,"Wallaby, dama",Often,1
349,"Cat, long-tailed spotted",Seldom,0
350,"Goose, egyptian",Daily,0
351,Eurasian hoopoe,Once,0
352,"Phalarope, grey",Often,0
353,Mountain lion,Monthly,1
354,"Kingfisher, white-throated",Yearly,1
355,"Cormorant, pied",Daily,1
356,Southern brown bandicoot,Daily,0
357,"Beaver, north american",Daily,1
358,Blesbok,Never,0
359,"Ibis, sacred",Daily,0
360,Sidewinder,Once,1
361,"Deer, red",Monthly,1
362,Stanley crane,Weekly,1
363,Black-tailed tree creeper,Never,1
364,"Vulture, oriental white-backed",Monthly,0
365,"Sheep, red",Once,1
366,"Turtle, long-necked",Monthly,1
367,Pocket gopher (unidentified),Once,0
368,Tarantula,Often,0
369,"Egret, snowy",Seldom,1
370,"Gull, southern black-backed",Monthly,0
371,Leopard,Weekly,1
372,"Curlew, black",Seldom,1
373,"Heron, green",Once,1
374,"Lizard, goanna",Never,0
375,"Zebra, plains",Seldom,1
376,"Phalarope, red",Yearly,0
377,"Gnu, brindled",Yearly,0
378,Common wallaroo,Never,0
379,"Weaver, sociable",Yearly,0
380,"Possum, western pygmy",Never,1
381,Collared lizard,Seldom,0
382,"Crow, american",Monthly,0
383,"Civet, common palm",Seldom,0
384,Harbor seal,Often,0
385,Common genet,Seldom,0
386,Blue-breasted cordon bleu,Monthly,1
387,Steenbuck,Monthly,0
388,"Vulture, white-headed",Once,0
389,Great white pelican,Daily,1
390,"Crane, black-crowned",Monthly,0
391,"Trumpeter, green-winged",Monthly,1
392,"Zebra, common",Monthly,0
393,Llama,Seldom,0
394,Tayra,Yearly,1
395,"Phalarope, red-necked",Yearly,0
396,Common raccoon,Often,1
397,Eastern grey kangaroo,Daily,0
398,"Beaver, american",Daily,0
399,"Tarantula, salmon pink bird eater",Seldom,1
400,"Boa, mexican",Weekly,1
401,"Boar, wild",Never,1
402,"Cliffchat, mocking",Yearly,0
403,"Phalarope, red-necked",Daily,1
404,"Lemur, brown",Weekly,0
405,"Hyena, brown",Seldom,1
406,"Skunk, striped",Never,1
407,"Porcupine, north american",Often,0
408,"Oryx, fringe-eared",Seldom,1
409,Pacific gull,Once,1
410,"Snake, eastern indigo",Never,1
411,Little heron,Yearly,1
412,Banded mongoose,Yearly,1
413,Cuis,Once,1
414,Tasmanian devil,Seldom,0
415,Ovenbird,Weekly,1
416,"Rat, white-faced tree",Never,1
417,Brush-tailed phascogale,Never,0
418,"Cat, civet",Daily,0
419,African buffalo,Weekly,0
420,Gecko (unidentified),Often,1
421,Water moccasin,Often,1
422,Magistrate black colobus,Often,0
423,Australian sea lion,Monthly,1
424,"Hare, arctic",Never,1
425,Asian foreset tortoise,Daily,1
426,"Jackrabbit, white-tailed",Yearly,1
427,Snowy owl,Weekly,0
428,Bateleur eagle,Never,0
429,Bengal vulture,Daily,1
430,African jacana,Never,0
431,Lesser flamingo,Never,1
432,Ringtail,Yearly,1
433,"Bettong, brush-tailed",Weekly,1
434,"Rhinoceros, square-lipped",Weekly,0
435,Snow goose,Never,1
436,"Tortoise, radiated",Once,1
437,Striped hyena,Never,1
438,"Vulture, griffon",Daily,1
439,White-faced whistling duck,Seldom,1
440,"Legaan, Monitor (unidentified)",Yearly,0
441,Yellow-billed hornbill,Daily,1
442,"Squirrel, pine",Daily,1
443,"Squirrel, golden-mantled ground",Daily,1
444,Aardwolf,Once,1
445,"Bear, sloth",Weekly,0
446,Yellow-bellied marmot,Once,1
447,"Leopard, indian",Never,1
448,Common rhea,Seldom,1
449,Grey lourie,Yearly,1
450,White-fronted bee-eater,Weekly,1
451,"Macaw, scarlet",Once,1
452,Malachite kingfisher,Yearly,0
453,Mallard,Weekly,1
454,"Bustard, kori",Daily,1
455,Red kangaroo,Monthly,1
456,"Coot, red-knobbed",Daily,0
457,Numbat,Yearly,1
458,Crested porcupine,Weekly,0
459,Golden eagle,Yearly,0
460,Salmon pink bird eater tarantula,Weekly,0
461,"Pelican, eastern white",Never,1
462,Steller sea lion,Once,1
463,"Bandicoot, short-nosed",Never,1
464,"Butterfly, tropical buckeye",Daily,0
465,Emerald green tree boa,Once,0
466,Galapagos tortoise,Yearly,1
467,"Gull, southern black-backed",Weekly,0
468,Fringe-eared oryx,Monthly,1
469,"Stork, openbill",Monthly,1
470,"Crane, black-crowned",Often,1
471,"Weaver, chestnut",Yearly,1
472,Lava gull,Weekly,0
473,Blue duck,Often,1
474,"Fox, asian red",Often,1
475,Gray duiker,Weekly,1
476,"Rhea, gray",Often,1
477,Eastern fox squirrel,Daily,0
478,"Raccoon, crab-eating",Weekly,0
479,Galapagos albatross,Weekly,1
480,Great horned owl,Never,1
481,Pied avocet,Daily,1
482,"Cormorant, large",Weekly,0
483,Blue racer,Once,1
484,"Gecko, barking",Weekly,0
485,"Gecko, bent-toed",Weekly,1
486,Common green iguana,Daily,1
487,Pale white-eye,Often,1
488,Coke's hartebeest,Once,1
489,"Deer, black-tailed",Once,1
490,Dama wallaby,Often,1
491,"Peacock, blue",Yearly,1
492,"Seal, harbor",Weekly,1
493,Guerza,Seldom,0
494,House crow,Often,1
495,"Sheep, american bighorn",Often,0
496,Malabar squirrel,Never,1
497,Antelope ground squirrel,Never,0
498,"Iguana, marine",Seldom,1
499,"Phalarope, red-necked",Once,1
500,"Squirrel, malabar",Weekly,0
501,"Rhinoceros, square-lipped",Yearly,1
502,"Shrike, common boubou",Weekly,1
503,"Hyena, spotted",Never,1
504,"Lory, rainbow",Seldom,0
505,Peregrine falcon,Monthly,1
506,Green-winged macaw,Monthly,0
507,Chuckwalla,Never,1
508,Dusky gull,Yearly,0
509,"Jaeger, long-tailed",Monthly,0
510,"Weaver, chestnut",Monthly,0
511,Common raccoon,Never,1
512,Egyptian cobra,Once,0
513,Western pygmy possum,Yearly,0
514,Currasow (unidentified),Once,1
515,"Ferret, black-footed",Weekly,0
516,Feathertail glider,Once,0
517,African bush squirrel,Seldom,1
518,Bateleur eagle,Often,1
519,Cattle egret,Daily,1
520,White-winged dove,Seldom,0
521,"Rhinoceros, black",Yearly,0
522,African skink,Daily,0
523,Red sheep,Seldom,1
524,"Wolf, common",Often,0
525,"Cat, cape wild",Seldom,1
526,"Heron, yellow-crowned night",Once,0
527,Ring-tailed lemur,Once,0
528,"Possum, golden brush-tailed",Once,1
529,Klipspringer,Weekly,0
530,Swallow (unidentified),Never,1
531,"Eagle, bald",Seldom,1
532,Lappet-faced vulture,Once,0
533,"Kangaroo, western grey",Never,1
534,Green-winged trumpeter,Often,0
535,Ringtail cat,Once,0
536,Alpaca,Yearly,0
537,"Waterbuck, defassa",Weekly,1
538,"Grenadier, purple",Often,0
539,Ring dove,Never,0
540,Australian sea lion,Often,0
541,"Cat, toddy",Weekly,1
542,Common pheasant,Once,0
543,"Rhinoceros, black",Seldom,1
544,Red-tailed hawk,Never,0
545,Kaffir cat,Seldom,0
546,"Shrew, mandras tree",Yearly,1
547,"Francolin, swainson's",Seldom,0
548,Black-collared barbet,Seldom,1
549,Red-tailed cockatoo,Never,0
550,Short-beaked echidna,Once,0
551,"Boa, malagasy ground",Weekly,0
552,Roe deer,Weekly,1
553,Blackbuck,Often,0
554,Northern phalarope,Often,1
555,African lion,Often,1
556,"Grouse, greater sage",Weekly,0
557,"Dragon, netted rock",Monthly,0
558,Asiatic wild ass,Seldom,0
559,"Tenrec, tailless",Weekly,1
560,"Colobus, black and white",Yearly,0
561,"Vulture, white-headed",Once,1
562,"Deer, savannah",Never,0
563,African black crake,Yearly,1
564,"Crow, house",Daily,1
565,Sage grouse,Yearly,1
566,Openbill stork,Never,0
567,African bush squirrel,Often,0
568,Crowned hawk-eagle,Once,1
569,White-necked raven,Never,1
570,Peregrine falcon,Yearly,1
571,Bennett's wallaby,Yearly,0
572,Laughing dove,Once,1
573,Pallas's fish eagle,Once,1
574,"Sheep, american bighorn",Seldom,1
575,Pied crow,Monthly,1
576,Caribou,Yearly,1
577,Gelada baboon,Seldom,0
578,"Weaver, sociable",Yearly,1
579,"Gecko, ring-tailed",Often,0
580,Galah,Once,1
581,Black-faced kangaroo,Once,0
582,"Dog, bush",Once,1
583,Golden-mantled ground squirrel,Never,1
584,Groundhog,Never,0
585,"Puma, south american",Never,0
586,"Skua, great",Yearly,0
587,Common green iguana,Daily,0
588,Indian red admiral,Monthly,1
589,Short-beaked echidna,Yearly,0
590,"Heron, yellow-crowned night",Daily,0
591,Water monitor,Monthly,0
592,Columbian rainbow boa,Daily,1
593,Marine iguana,Weekly,0
594,"Cow, scottish highland",Never,1
595,American woodcock,Yearly,1
596,Mara,Never,0
597,Small-clawed otter,Monthly,1
598,"Gecko, barking",Once,0
599,"Tortoise, desert",Often,1
600,Gemsbok,Once,0
601,Mexican wolf,Once,0
602,Blue and yellow macaw,Seldom,1
603,Greater roadrunner,Monthly,0
604,"Lemur, ring-tailed",Weekly,1
605,Greater rhea,Yearly,0
606,"Kangaroo, red",Daily,1
607,"Whale, southern right",Daily,1
608,"Gull, herring",Daily,0
609,"Cormorant, great",Yearly,1
610,Old world fruit bat (unidentified),Daily,0
611,"Bird, bare-faced go away",Weekly,1
612,"Barbet, black-collared",Often,1
613,"Crake, african black",Seldom,1
614,Hottentot teal,Daily,0
615,"Monkey, red howler",Weekly,1
616,Cereopsis goose,Often,0
617,"Macaw, blue and gold",Once,0
618,Butterfly (unidentified),Daily,0
619,"Gull, southern black-backed",Daily,1
620,"Goose, andean",Never,0
621,"Tortoise, asian foreset",Once,0
622,Little cormorant,Yearly,0
623,Southern black-backed gull,Yearly,0
624,Western pygmy possum,Monthly,0
625,"Dog, bush",Often,1
626,Indian star tortoise,Monthly,0
627,Greater kudu,Often,0
628,Red brocket,Monthly,0
629,"Flamingo, chilean",Seldom,1
630,Common boubou shrike,Once,0
631,"Marmot, hoary",Monthly,0
632,Kelp gull,Often,1
633,"Bat, asian 0 vampire",Never,1
634,Common wombat,Never,1
635,"Booby, blue-faced",Never,1
636,Leadbeateri's ground hornbill,Seldom,1
637,"Skua, great",Seldom,0
638,"Stork, woolly-necked",Daily,1
639,"Lion, steller's sea",Daily,1
640,Pine snake (unidentified),Never,1
641,Eurasian hoopoe,Once,1
642,Common dolphin,Weekly,1
643,American alligator,Daily,1
644,Prairie falcon,Daily,1
645,"Squirrel, arctic ground",Yearly,0
646,Dassie,Never,1
647,"Wagtail, african pied",Often,0
648,Desert tortoise,Weekly,1
649,"Chipmunk, least",Once,0
650,Weeper capuchin,Daily,1
651,Brown and yellow marshbird,Weekly,0
652,"Hawk, galapagos",Yearly,0
653,Javan gold-spotted mongoose,Weekly,1
654,Woodrat (unidentified),Often,1
655,Grison,Seldom,0
656,Ornate rock dragon,Monthly,1
657,"Sloth, two-toed",Once,1
658,"Cockatoo, red-breasted",Weekly,0
659,Snowy owl,Monthly,0
660,Killer whale,Often,1
661,"Tortoise, desert",Daily,0
662,"Goose, cereopsis",Yearly,0
663,Egyptian cobra,Seldom,1
664,"Gnu, brindled",Monthly,0
665,"Goat, mountain",Monthly,1
666,Rock dove,Monthly,1
667,"Jacana, african",Often,1
668,Horned rattlesnake,Never,0
669,American beaver,Once,0
670,Green vine snake,Daily,0
671,"Shelduck, common",Seldom,1
672,"Dove, emerald-spotted wood",Daily,0
673,Crab (unidentified),Often,1
674,"Cormorant, great",Once,1
675,"Boa, columbian rainbow",Monthly,0
676,Silver-backed fox,Daily,1
677,"Meerkat, red",Seldom,1
678,Black-tailed tree creeper,Often,0
679,"Dragonfly, russian",Yearly,1
680,Amazon parrot (unidentified),Once,1
681,Guerza,Daily,0
682,"Oryx, fringe-eared",Once,0
683,Kelp gull,Never,1
684,Japanese macaque,Seldom,0
685,"Genet, common",Monthly,1
686,Horned puffin,Weekly,0
687,Striped skunk,Often,1
688,"Deer, barasingha",Often,1
689,"Spider, wolf",Once,0
690,"Legaan, ground",Seldom,0
691,"Eagle, bald",Seldom,0
692,Gray heron,Yearly,0
693,Red-knobbed coot,Weekly,0
694,"Butterfly, tropical buckeye",Daily,1
695,Australian masked owl,Weekly,0
696,Python (unidentified),Seldom,0
697,"Goose, knob-nosed",Monthly,1
698,Reindeer,Often,1
699,Galapagos mockingbird,Once,1
700,Tropical buckeye butterfly,Daily,1
701,Kirk's dik dik,Weekly,1
702,Bengal vulture,Weekly,0
703,White-throated robin,Monthly,1
704,"Rhinoceros, white",Often,0
705,Asiatic jackal,Once,1
706,Steller sea lion,Weekly,1
707,Cape clawless otter,Daily,1
708,"Crocodile, nile",Often,1
709,"Porcupine, prehensile-tailed",Monthly,1
710,American bighorn sheep,Monthly,0
711,Cape Barren goose,Never,0
712,"Avocet, pied",Yearly,1
713,Black-eyed bulbul,Never,0
714,Javanese cormorant,Monthly,1
715,White-mantled colobus,Seldom,0
716,"Sifaka, verreaux's",Weekly,1
717,Thirteen-lined squirrel,Daily,1
718,Steller sea lion,Never,1
719,Spotted hyena,Never,0
720,"Deer, white-tailed",Daily,0
721,Cape cobra,Monthly,0
722,American Virginia opossum,Monthly,0
723,Purple moorhen,Weekly,1
724,Cape wild cat,Monthly,1
725,Mara,Often,0
726,"Vulture, turkey",Once,0
727,"Squirrel, thirteen-lined",Yearly,0
728,Anaconda (unidentified),Seldom,0
729,Nine-banded armadillo,Monthly,1
730,Griffon vulture,Daily,1
731,White-tailed deer,Yearly,0
732,"Flicker, field",Daily,1
733,Yellow-rumped siskin,Yearly,1
734,Four-horned antelope,Weekly,0
735,"Squirrel, smith's bush",Yearly,0
736,"Jackal, asiatic",Never,0
737,Eastern box turtle,Seldom,0
738,Aardwolf,Never,1
739,Southern tamandua,Daily,1
740,"Monkey, red howler",Monthly,1
741,Red deer,Seldom,0
742,"Wallaby, tammar",Seldom,0
743,"Owl, snowy",Yearly,0
744,Long-crested hawk eagle,Never,0
745,"Snake, western patch-nosed",Monthly,1
746,Yellow baboon,Weekly,1
747,Red-cheeked cordon bleu,Daily,1
748,Honey badger,Monthly,0
749,Black-tailed prairie dog,Seldom,0
750,Weeper capuchin,Weekly,0
751,"Rhea, common",Never,0
752,Flightless cormorant,Seldom,1
753,North American red fox,Yearly,1
754,"Oystercatcher, blackish",Never,1
755,"Albatross, galapagos",Weekly,0
756,African lynx,Often,1
757,Black spider monkey,Daily,0
758,Violet-eared waxbill,Daily,0
759,"Legaan, ground",Monthly,1
760,Hawk-headed parrot,Yearly,1
761,Golden-mantled ground squirrel,Once,1
762,"Stork, marabou",Often,0
763,Common wombat,Daily,0
764,"Cockatoo, long-billed",Daily,1
765,White-tailed deer,Yearly,0
766,Yellow-headed caracara,Often,1
767,Sugar glider,Monthly,0
768,"Spoonbill, european",Weekly,1
769,"Kangaroo, jungle",Monthly,0
770,Pocket gopher (unidentified),Seldom,0
771,Two-toed sloth,Weekly,0
772,Carmine bee-eater,Yearly,0
773,"Cat, cape wild",Seldom,1
774,Gemsbok,Weekly,1
775,"Cat, jungle",Monthly,1
776,Snake-necked turtle,Yearly,1
777,"Badger, eurasian",Daily,0
778,"Racer, american",Once,1
779,"Bee-eater, nubian",Daily,0
780,African lynx,Never,0
781,Cape wild cat,Daily,1
782,Common brushtail possum,Seldom,0
783,Violet-crested turaco,Once,0
784,"Rattlesnake, eastern diamondback",Once,0
785,Currasow (unidentified),Weekly,1
786,South African hedgehog,Once,0
787,Australian sea lion,Daily,0
788,"Sparrow, rufous-collared",Daily,0
789,"Hoopoe, eurasian",Often,0
790,Russian dragonfly,Seldom,0
791,"Trotter, lily",Seldom,0
792,Black swan,Never,0
793,Tayra,Once,0
794,Defassa waterbuck,Never,0
